City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
95,Mount Isa,AU,2021-09-28 11:39:03,-20.7333,139.5,83.97,26,74,6.91
96,Voh,NC,2021-09-28 11:39:04,-20.9667,164.7,66.09,87,76,5.73
97,Shache,CN,2021-09-28 11:39:04,38.4167,77.2406,82.99,11,0,3.91
98,Adrar,MR,2021-09-28 11:39:04,20.5022,-10.0711,101.97,7,2,11.32
99,Tiksi,RU,2021-09-28 11:39:05,71.6872,128.8694,31.19,95,99,4.09
100,San Quintin,MX,2021-09-28 11:39:05,30.4833,-115.95,66.34,78,98,12.82
101,Saint George,US,2021-09-28 11:35:59,37.1041,-113.5841,71.35,56,1,1.01
102,Bambous Virieux,MU,2021-09-28 11:39:06,-20.3428,57.7575,76.21,64,75,13.8
103,Arraial Do Cabo,BR,2021-09-28 11:37:02,-22.9661,-42.0278,75.16,88,40,16.11
104,Libenge,CD,2021-09-28 11:39:06,3.65,18.6333,93.24,40,52,1.92
105,Vila,PT,2021-09-28 11:39:06,42.0304,-8.1588,59.7,74,56,5.21
106,Cape Town,ZA,2021-09-28 11:34:22,-33.9258,18.4232,70.12,49,20,12.66
107,Cherskiy,RU,2021-09-28 11:39:07,68.75,161.3,22.3,92,100,11.27
108,Santa Cruz,BO,2021-09-28 11:39:07,-17.8,-63.1667,76.46,83,20,11.5
109,Puerto Escondido,MX,2021-09-28 11:39:07,15.85,-97.0667,77.83,80,99,4.09
110,Saint Anthony,US,2021-09-28 11:39:08,45.0205,-93.218,59.14,87,1,3.0
111,Polunochnoye,RU,2021-09-28 11:39:08,60.8697,60.4153,41.94,65,100,1.95
112,Agadir,MA,2021-09-28 11:39:08,30.4202,-9.5982,81.05,49,4,7.96
113,Spassk,RU,2021-09-28 11:39:09,52.747,87.7545,38.71,62,100,0.96
114,Avarua,CK,2021-09-28 11:39:09,-21.2078,-159.775,73.45,88,68,5.75
115,Narsaq,GL,2021-09-28 11:39:09,60.9167,-46.05,26.82,44,2,4.25
116,Bilibino,RU,2021-09-28 11:39:10,68.0546,166.4372,9.32,99,100,2.89
117,Praia,CV,2021-09-28 11:39:06,14.9215,-23.5087,84.74,65,20,14.97
118,Lorengau,PG,2021-09-28 11:39:10,-2.0226,147.2712,81.77,75,14,7.47
119,Itarema,BR,2021-09-28 11:39:10,-2.9248,-39.9167,86.63,57,24,17.27
120,Envira,BR,2021-09-28 11:39:11,-7.3,-70.2167,77.76,77,3,3.4
121,Samur,RU,2021-09-28 11:39:11,41.8253,48.486,59.76,82,100,4.61
122,Berlevag,NO,2021-09-28 11:39:11,70.8578,29.0864,59.0,51,0,32.21
123,Puerto Colombia,CO,2021-09-28 11:39:11,10.9878,-74.9547,82.49,87,100,8.77
124,Millau,FR,2021-09-28 11:39:12,44.0833,2.9167,72.0,40,85,3.58
125,Nabire,ID,2021-09-28 11:39:12,-3.3667,135.4833,78.98,86,86,2.46
126,Bengkulu,ID,2021-09-28 11:39:12,-3.8004,102.2655,78.24,89,100,2.68
127,Butaritari,KI,2021-09-28 11:39:13,3.0707,172.7902,82.33,80,66,20.74
