City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
452,Tanabe,JP,78.01,broken clouds,33.7333,135.3667,美吉屋旅館
454,Sal Rei,CV,79.36,overcast clouds,16.1833,-22.9167,Marine Club Beach Resort
459,Anqing,CN,84.16,clear sky,30.5092,117.0506,Hongtian Hotel
460,Manokwari,ID,84.43,scattered clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
463,Umm Lajj,SA,79.72,clear sky,25.0213,37.2685,Moon light Furnished Units
466,Sur,OM,88.5,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
467,Lang Son,VN,85.64,scattered clouds,21.8333,106.7333,Khai Nga Hotel
472,Aborlan,PH,85.75,moderate rain,9.4352,118.5492,Kevina Transient House
474,Gorontalo,ID,88.0,light rain,0.5412,123.0595,Maqna Hotel by Prasanthi
478,Muroto,JP,84.24,clear sky,33.2833,134.15,Oota Ryokan
485,Olinda,BR,76.73,light rain,-8.0089,-34.8553,Hotel Albergue de Olinda
489,Wad Rawah,SD,83.62,clear sky,15.1603,33.1397,ود الترابي
490,Fukue,JP,80.96,broken clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
491,Mabaruma,GY,75.47,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
492,Hitoyoshi,JP,84.02,clear sky,32.2167,130.75,Ryokan Ayu-no-Sato
494,Dicabisagan,PH,86.74,light rain,17.0818,122.4157,Nancy Montanes Bernardo
495,Amahai,ID,82.62,light rain,-3.3333,128.9167,HOTEL ISABELA
496,Oros,BR,80.35,overcast clouds,-6.2444,-38.9136,Pousada Orós
497,Flinders,AU,75.79,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
504,Roebourne,AU,89.13,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
508,Witu,KE,77.16,light rain,-2.3889,40.4382,
509,Auki,SB,87.04,light rain,-8.7676,160.7034,Auki Motel
510,Hermosillo,MX,84.69,clear sky,29.0667,-110.9667,ibis Hermosillo
511,Puerto Plata,DO,75.16,thunderstorm,19.7934,-70.6884,Tropical Junior Suite All-Incl Resort Puerto Plata
512,Banda Aceh,ID,79.3,overcast clouds,5.5577,95.3222,Sulthan Hotel International
515,Cabedelo,BR,75.87,few clouds,-6.9811,-34.8339,Hotel Pigalle
518,Nuqui,CO,75.74,light rain,5.7125,-77.2708,Hotel Nuquimar
519,Atar,MR,88.61,clear sky,20.5169,-13.0499,Oumou Elghoura
525,Ixtapa,MX,83.43,scattered clouds,20.7,-105.2,Hotel Plaza Providencia
529,Ratnagiri,IN,78.75,broken clouds,16.9833,73.3,Hotel Landmark
531,Kaiyuan,CN,75.45,light rain,23.6977,103.3037,Dongqi Hotel
536,Along,IN,80.89,broken clouds,28.1667,94.7667,Hotel West
537,Kifri,IQ,77.27,clear sky,34.6959,44.9661,میزان کفری
540,Auras,IN,85.95,clear sky,26.9167,80.5167,ISHWARI KRIPA INDANE SERVICE
543,Sembakung,ID,80.53,light rain,3.8167,117.25,
544,Dwarka,IN,82.04,light rain,22.2394,68.9678,Hotel Narayan Avezika Comfort
552,Karaton,ID,87.96,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
557,Kapit,MY,86.27,light rain,2.0167,112.9333,Hotel Meligai Kapit
561,Kavaratti,IN,81.86,light rain,10.5669,72.642,Hotels in Lakshadweep Islands
564,Bosaso,SO,87.55,broken clouds,11.2842,49.1816,Red Sea Hotel
565,Beruwala,LK,80.24,light rain,6.4788,79.9828,The Palms Hotel
