,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
238,San Jeronimo,PE,-11.9472,-75.2829,53.55,69,92,0.07,overcast clouds
239,Surt,LY,31.2089,16.5887,76.37,70,4,6.98,clear sky
240,Henties Bay,NA,-22.116,14.2845,54.86,87,82,9.46,broken clouds
241,Hualmay,PE,-11.0964,-77.6139,63.99,85,30,9.26,scattered clouds
242,Fairhope,US,30.523,-87.9033,78.84,87,1,0.0,clear sky
243,Chicxulub,MX,21.1333,-89.5167,82.45,78,40,7.58,scattered clouds
244,Taoudenni,ML,22.6783,-3.9836,88.14,9,65,7.11,broken clouds
245,Berlevag,NO,70.8578,29.0864,44.06,81,17,14.25,few clouds
246,Clayton,US,33.5335,-84.3666,73.31,93,69,3.04,broken clouds
247,Amazar,RU,53.858,120.875,41.47,40,67,6.31,broken clouds
248,Biak,ID,-0.9131,122.8766,81.28,78,81,3.6,light rain
249,Vila Franca Do Campo,PT,37.7167,-25.4333,70.2,90,27,2.98,scattered clouds
250,Trinidad,BO,-14.8333,-64.9,85.42,50,1,7.0,clear sky
251,Jinchang,CN,38.4953,102.1739,70.57,15,0,1.97,clear sky
252,Dire,ML,12.2833,-10.9667,73.24,94,100,3.62,light rain
253,Zhob,PK,31.3411,69.4481,75.24,62,1,4.45,clear sky
254,Gravdal,NO,68.1214,13.5031,48.52,79,18,11.18,few clouds
255,Port Alfred,ZA,-33.5906,26.891,60.44,92,4,11.74,clear sky
256,Rio Cuarto,AR,-33.1307,-64.3499,44.83,42,0,5.84,clear sky
257,Brigantine,US,39.4101,-74.3646,63.01,81,90,0.0,overcast clouds
258,Buraydah,SA,26.326,43.975,70.25,13,0,7.52,clear sky
259,Adilcevaz,TR,38.8039,42.7342,56.91,56,0,3.71,clear sky
260,Caucaia,BR,-3.7361,-38.6531,80.55,77,40,10.36,scattered clouds
261,Kidal,ML,18.4411,1.4078,82.2,12,75,9.15,broken clouds
262,Nuristan,AF,35.3,70.8333,48.96,45,0,0.85,clear sky
263,Kushmurun,KZ,52.4503,64.6311,36.72,74,60,9.89,broken clouds
264,Washington,US,47.5001,-120.5015,59.4,72,47,5.53,scattered clouds
265,New Smyrna Beach,US,29.0258,-80.927,80.1,68,99,7.38,overcast clouds
266,Bandarbeyla,SO,9.4942,50.8122,79.59,78,97,21.47,overcast clouds
267,Sainte-Suzanne,RE,-20.9061,55.6089,71.78,73,40,14.97,scattered clouds
268,Basco,PH,20.4487,121.9702,83.16,78,94,6.29,light rain
269,Grindavik,IS,63.8424,-22.4338,43.27,75,0,23.02,clear sky
270,Qixingtai,CN,30.4135,111.8874,82.98,57,0,3.76,clear sky
271,Lamu,KE,-2.2717,40.902,77.22,84,100,13.71,light rain
272,Bolshaya Sosnova,RU,57.6713,54.6029,42.75,97,100,5.53,overcast clouds
273,Collie,AU,-33.3667,116.15,56.98,95,100,7.2,moderate rain
274,Egvekinot,RU,66.3167,-179.1667,19.45,77,81,11.05,broken clouds
275,Norsup,VU,-16.0667,167.3833,81.54,75,56,17.11,broken clouds
276,Marsa Matruh,EG,31.3525,27.2453,75.4,69,40,8.05,scattered clouds
277,Sault Sainte Marie,CA,46.5168,-84.3333,56.89,90,1,0.0,clear sky
278,Ahtopol,BG,42.1,27.95,55.87,68,76,16.02,broken clouds
279,Tecoanapa,MX,16.5167,-98.75,79.74,81,56,3.24,broken clouds
280,Saint-Georges,GD,12.0564,-61.7485,83.88,79,20,6.91,light rain
281,Aswan,EG,24.0934,32.907,76.3,38,0,6.91,clear sky
282,Kozhva,RU,65.1073,57.0459,31.14,86,88,5.64,overcast clouds
283,Sinjar,IQ,36.3209,41.8754,71.19,44,0,2.21,clear sky
284,Mountain Home,US,43.133,-115.6912,63.34,23,1,4.61,clear sky
285,Sabang,ID,5.8933,95.3214,80.46,78,100,10.02,overcast clouds
286,Thonon-Les-Bains,FR,46.25,6.5,48.2,89,7,3.31,clear sky
287,Ambulu,ID,-8.345,113.6058,85.3,60,67,8.03,broken clouds
